Route Name,Route Filename
Gothenburg,routes/1.gpx
DC Sightseeing,routes/2.gpx
18k Route,routes/3.gpx
Big Dolgellau Ride,routes/4.gpx
Cadair Idris,routes/5.gpx
Keswick Squad Loop,routes/6.gpx
Steff's Route,routes/7.gpx
Wednesday Evening Ride,routes/8.gpx
Gower Loop,routes/9.gpx
Kel's Stag Option 2,routes/10.gpx
Kel's Stag Option 1,routes/11.gpx
Tenby Loop,routes/12.gpx
Beacons Loop,routes/13.gpx
16km Bleasdale - Calder Vale loop,routes/14.gpx
28k Loop,routes/15.gpx
13 Mile Route,routes/16.gpx
32k Route,routes/17.gpx
Clyne Car Park 9 miler,routes/18.gpx
Patsy's run,routes/19.gpx
Swansea 16k,routes/20.gpx
Cardiff 18k,routes/21.gpx
9 mile route,routes/22.gpx
Squad Beast,routes/23.gpx
